City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Tual,ID,2022-03-03 06:29:52,-5.6667,132.75,84.2,72,26,10.42,scattered clouds
177,Calmar,CA,2022-03-03 06:29:53,53.2668,-113.8187,18.36,82,100,14.97,overcast clouds
178,Beyneu,KZ,2022-03-03 06:29:53,45.3167,55.2,46.74,60,76,18.19,broken clouds
179,Kodiak,US,2022-03-03 06:29:54,57.79,-152.4072,36.91,93,100,5.75,overcast clouds
180,Didao,CN,2022-03-03 06:29:55,45.3667,130.8,28.47,55,37,10.47,scattered clouds
181,Yangambi,CD,2022-03-03 06:29:55,0.8102,24.4336,74.03,79,85,4.29,overcast clouds
182,Lagoa,PT,2022-03-03 06:29:56,39.05,-27.9833,56.14,58,83,2.13,broken clouds
183,Flinders,AU,2022-03-03 06:29:56,-34.5833,150.8552,75.11,93,97,8.01,light rain
184,Sabang,ID,2022-03-03 06:29:57,5.8933,95.3214,82.74,74,91,13.11,overcast clouds
185,Wakkanai,JP,2022-03-03 06:29:58,45.4094,141.6739,26.58,59,20,5.75,few clouds
186,Urumqi,CN,2022-03-03 06:29:58,43.801,87.6005,38.35,70,75,2.24,broken clouds
187,Geraldton,AU,2022-03-03 06:29:59,-28.7667,114.6,79.21,27,0,23.02,clear sky
188,Coihaique,CL,2022-03-03 06:30:00,-45.5752,-72.0662,64.35,52,0,10.36,clear sky
189,Tazovskiy,RU,2022-03-03 06:30:01,67.4667,78.7,-13.38,97,60,3.09,broken clouds
190,Port Alfred,ZA,2022-03-03 06:30:02,-33.5906,26.891,73.85,66,7,9.13,clear sky
191,Noumea,NC,2022-03-03 06:30:03,-22.2763,166.4572,87.78,99,95,7.94,overcast clouds
192,Kapaa,US,2022-03-03 06:30:04,22.0752,-159.319,76.98,77,100,10.36,overcast clouds
193,Ukiah,US,2022-03-03 06:30:01,39.1502,-123.2078,55.02,72,20,3.44,few clouds
194,Ushumun,RU,2022-03-03 06:30:05,52.7833,126.5333,23.92,66,100,5.06,overcast clouds
195,Byron Bay,AU,2022-03-03 06:26:11,-28.65,153.6167,82.51,76,43,11.05,scattered clouds
196,Komsomolskiy,UZ,2022-03-03 06:30:07,40.4272,71.7189,56.12,41,0,2.3,clear sky
197,Nikolskoye,RU,2022-03-03 06:30:08,59.7035,30.7861,31.71,98,100,5.12,overcast clouds
198,Guane,CU,2022-03-03 06:30:08,22.2025,-84.0875,63.73,80,0,5.32,clear sky
199,Tuatapere,NZ,2022-03-03 06:30:09,-46.1333,167.6833,63.82,89,100,4.97,overcast clouds
200,Mafinga,TZ,2022-03-03 06:30:10,-7.25,35.0667,72.84,81,100,3.0,light rain
201,Taoudenni,ML,2022-03-03 06:30:10,22.6783,-3.9836,58.05,28,0,11.7,clear sky
202,Kankon,IN,2022-03-03 06:30:11,15.0167,74.0167,89.85,29,17,8.21,few clouds
203,Kaitangata,NZ,2022-03-03 06:30:12,-46.2817,169.8464,60.93,74,96,2.39,overcast clouds
204,Santa Barbara,US,2022-03-03 06:26:19,34.7333,-120.0343,52.34,87,0,0.0,clear sky
205,Tilichiki,RU,2022-03-03 06:30:13,60.4667,166.1,7.77,86,26,10.49,scattered clouds
206,Grand Gaube,MU,2022-03-03 06:30:14,-20.0064,57.6608,82.38,85,13,7.0,few clouds
207,Impfondo,CG,2022-03-03 06:30:14,1.6381,18.0667,79.97,65,82,4.16,broken clouds
208,Port Pirie,AU,2022-03-03 06:30:15,-33.1833,138.0167,91.49,31,100,8.39,overcast clouds
209,Boa Vista,BR,2022-03-03 06:30:16,2.8197,-60.6733,78.78,78,40,9.22,scattered clouds
210,Coquimbo,CL,2022-03-03 06:30:16,-29.9533,-71.3436,62.73,85,6,2.98,clear sky
211,Valparaiso,CL,2022-03-03 06:30:18,-33.0393,-71.6273,64.47,74,75,3.44,broken clouds
212,Baykit,RU,2022-03-03 06:30:18,61.67,96.37,7.27,84,100,10.45,overcast clouds
213,Shenjiamen,CN,2022-03-03 06:30:19,29.9576,122.298,53.1,75,4,13.69,clear sky
214,Leshukonskoye,RU,2022-03-03 06:30:19,64.8989,45.7622,29.39,94,100,5.99,overcast clouds
215,Pisco,PE,2022-03-03 06:30:20,-13.7,-76.2167,71.65,83,0,3.44,clear sky
216,Koungou,YT,2022-03-03 06:30:21,-12.7336,45.2042,83.91,84,75,8.05,moderate rain
217,San Juan,AR,2022-03-03 06:28:58,-31.5375,-68.5364,76.98,39,0,5.55,clear sky
218,Rawson,AR,2022-03-03 06:30:21,-43.3002,-65.1023,70.86,49,100,6.82,overcast clouds
219,Najran,SA,2022-03-03 06:30:22,17.4924,44.1277,72.25,18,0,10.98,clear sky
220,Barra Patuca,HN,2022-03-03 06:30:23,15.8,-84.2833,75.78,72,69,10.09,broken clouds
221,Capitao Poco,BR,2022-03-03 06:30:23,-1.7464,-47.0594,71.38,98,85,3.42,overcast clouds
222,Ulladulla,AU,2022-03-03 06:30:24,-35.35,150.4667,73.76,91,59,14.07,light rain
223,Lyngseidet,NO,2022-03-03 06:30:25,69.5763,20.2189,32.0,93,100,10.98,light snow
224,Nosy Varika,MG,2022-03-03 06:30:25,-20.5833,48.5333,83.28,70,11,4.74,few clouds
225,Itoman,JP,2022-03-03 06:27:51,26.1247,127.6694,70.18,58,20,12.66,few clouds
226,Fairbanks,US,2022-03-03 06:30:26,64.8378,-147.7164,21.16,86,75,4.61,broken clouds
227,Asau,RO,2022-03-03 06:30:27,46.4333,26.4,32.95,85,89,3.67,overcast clouds
228,Castro,BR,2022-03-03 06:30:28,-24.7911,-50.0119,63.07,96,100,2.35,overcast clouds
229,Bulungu,CD,2022-03-03 06:30:28,-4.55,18.6,74.25,83,100,2.59,overcast clouds
230,Tirlyanskiy,RU,2022-03-03 06:30:29,54.2109,58.5806,34.2,77,71,2.82,broken clouds
231,Coahuayana,MX,2022-03-03 06:30:30,18.7333,-103.6833,67.91,80,0,3.27,clear sky
232,Ondo,NG,2022-03-03 06:30:31,7.1,4.8333,76.53,91,72,2.15,broken clouds
233,Lubango,AO,2022-03-03 06:30:32,-14.9172,13.4925,64.69,83,84,4.07,broken clouds
234,Young,UY,2022-03-03 06:30:32,-32.6833,-57.6333,68.23,79,0,3.94,clear sky
235,Padang,ID,2022-03-03 06:30:33,-0.9492,100.3543,86.05,72,99,8.08,overcast clouds
236,Namibe,AO,2022-03-03 06:30:35,-15.1961,12.1522,77.76,74,100,4.47,overcast clouds
237,Port-Gentil,GA,2022-03-03 06:30:35,-0.7193,8.7815,80.56,89,20,4.61,few clouds
238,New Castle,US,2022-03-03 06:28:44,41.0037,-80.347,42.04,91,100,11.5,snow
239,Panalingaan,PH,2022-03-03 06:30:36,8.7842,117.4231,85.73,67,69,6.85,broken clouds
240,Araouane,ML,2022-03-03 06:30:37,18.9048,-3.5265,64.22,31,100,15.14,overcast clouds
241,Coari,BR,2022-03-03 06:30:38,-4.085,-63.1414,72.46,98,100,1.79,overcast clouds
242,Georgetown,MY,2022-03-03 06:30:38,5.4112,100.3354,89.53,70,40,8.05,scattered clouds
243,Lahij,YE,2022-03-03 06:30:39,13.1667,44.5833,81.45,35,61,11.03,broken clouds
244,Oistins,BB,2022-03-03 06:30:40,13.0667,-59.5333,77.09,88,75,14.97,broken clouds
245,Kloulklubed,PW,2022-03-03 06:30:41,7.0419,134.2556,79.3,81,100,13.24,overcast clouds
246,Kinlochleven,GB,2022-03-03 06:30:41,56.7115,-4.9661,44.74,98,100,5.21,overcast clouds
247,Tuktoyaktuk,CA,2022-03-03 06:30:42,69.4541,-133.0374,-4.0,77,0,10.36,clear sky
248,Zeya,RU,2022-03-03 06:30:43,53.75,127.2667,19.47,60,100,2.95,overcast clouds
249,Saint-Pierre,RE,2022-03-03 06:30:44,-21.3393,55.4781,85.64,79,75,16.11,broken clouds
250,Verkhnyaya Inta,RU,2022-03-03 06:30:44,65.9811,60.3094,28.15,95,100,18.37,light snow
251,Broome,US,2022-03-03 06:30:45,42.2506,-75.833,33.55,78,100,6.91,snow
252,Grants Pass,US,2022-03-03 06:29:07,42.439,-123.3284,49.51,94,100,5.75,mist
253,Olafsvik,IS,2022-03-03 06:30:46,64.8945,-23.7142,39.16,70,43,22.39,scattered clouds
254,Nyimba,ZM,2022-03-03 06:30:46,-14.5566,30.8149,75.79,72,100,2.59,overcast clouds
255,Kirakira,SB,2022-03-03 06:30:47,-10.4544,161.9205,82.65,77,67,7.02,broken clouds
256,Ruteng,ID,2022-03-03 06:30:48,-8.6136,120.4721,76.3,58,43,4.7,scattered clouds
257,Brae,GB,2022-03-03 06:30:48,60.3964,-1.353,42.71,80,89,27.13,overcast clouds
258,Mount Gambier,AU,2022-03-03 06:30:49,-37.8333,140.7667,84.11,42,75,17.27,broken clouds
259,Andenes,NO,2022-03-03 06:30:50,69.3143,16.1194,33.78,75,75,23.02,light snow
