City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
268,Kommunisticheskiy,RU,2022-03-01 19:15:18,61.6789,64.4819,12.38,94,6,6.4
269,Beringovskiy,RU,2022-03-01 19:15:19,63.05,179.3167,21.65,96,100,4.59
270,Malatya,TR,2022-03-01 19:11:11,38.5,38.0,37.45,100,100,3.44
271,Itoman,JP,2022-03-01 19:10:29,26.1247,127.6694,68.77,92,75,9.22
272,Oussouye,SN,2022-03-01 19:15:20,12.485,-16.5469,87.98,50,0,14.7
273,Norman Wells,CA,2022-03-01 19:10:32,65.282,-126.8329,-4.04,92,29,11.43
274,Pangkalanbuun,ID,2022-03-01 19:15:20,-2.6833,111.6167,73.69,98,26,3.11
275,Northam,GB,2022-03-01 19:15:21,51.0333,-4.2167,47.3,95,100,18.37
276,Stornoway,GB,2022-03-01 19:15:21,58.2093,-6.3865,40.93,82,20,5.75
277,Mogadishu,SO,2022-03-01 19:15:22,2.0371,45.3438,79.0,78,5,19.84
278,Tete,MZ,2022-03-01 19:16:42,-16.1564,33.5867,80.69,65,20,8.05
279,Khatassy,RU,2022-03-01 19:16:42,61.9036,129.6383,-5.03,99,100,2.73
280,San Patricio,US,2022-03-01 19:16:43,28.017,-97.5169,71.69,36,3,7.2
281,Mitu,CO,2022-03-01 19:16:43,1.1983,-70.1733,83.55,74,96,1.59
282,Corowa,AU,2022-03-01 19:16:44,-36.0333,146.3833,70.29,95,100,8.61
283,Macenta,GN,2022-03-01 19:16:45,8.5435,-9.471,75.56,69,100,3.0
284,Solvychegodsk,RU,2022-03-01 19:16:45,61.3305,46.9156,29.75,90,100,8.84
285,Saint-Joseph,RE,2022-03-01 19:16:45,-21.3667,55.6167,77.38,86,54,7.99
286,Charters Towers,AU,2022-03-01 19:16:46,-20.1,146.2667,78.8,72,88,7.29
287,Hadejia,NG,2022-03-01 19:16:46,12.4498,10.0444,81.75,6,0,8.41
288,Jumla,NP,2022-03-01 19:16:47,29.2747,82.1838,36.01,74,1,4.14
289,Barcelos,PT,2022-03-01 19:15:27,41.5388,-8.6151,53.92,95,53,5.44
290,Mount Isa,AU,2022-03-01 19:16:47,-20.7333,139.5,78.57,34,37,6.91
291,Lebu,CL,2022-03-01 19:16:48,-37.6167,-73.65,64.87,71,6,11.14
292,Sinazongwe,ZM,2022-03-01 19:16:49,-17.2614,27.4618,78.31,65,8,6.31
293,Surt,LY,2022-03-01 19:16:49,31.2089,16.5887,58.39,81,100,15.05
